FlightId,AirRouteId,DepartureTime,ArrivalTime,IsDeleted
0,146,2023-07-13 13:34:31,2023-07-13 14:34:31,0
1,632,2023-12-19 02:50:47,2023-12-19 07:50:47,0
2,935,2023-12-29 23:55:09,2023-12-30 01:55:09,0
3,384,2023-10-31 18:21:32,2023-10-31 19:21:32,0
4,963,2023-10-07 16:57:38,2023-10-07 20:57:38,0
5,616,2023-11-07 11:50:05,2023-11-07 14:50:05,0
6,771,2023-10-14 09:04:22,2023-10-14 10:04:22,0
7,129,2023-09-30 21:12:59,2023-10-01 02:12:59,0
8,507,2023-11-06 03:34:19,2023-11-06 05:34:19,0
9,427,2023-12-20 06:32:34,2023-12-20 07:32:34,0
10,668,2023-11-21 22:43:17,2023-11-22 02:43:17,0
11,555,2023-10-31 14:22:44,2023-10-31 18:22:44,0
12,32,2023-12-02 17:31:50,2023-12-02 20:31:50,0
13,866,2023-07-20 21:26:15,2023-07-21 01:26:15,0
14,276,2023-11-20 08:10:49,2023-11-20 12:10:49,0
15,118,2023-08-03 22:34:55,2023-08-04 00:34:55,0
16,284,2023-07-19 20:56:20,2023-07-19 21:56:20,0
17,616,2023-10-17 14:25:30,2023-10-17 19:25:30,0
18,846,2023-08-14 17:45:24,2023-08-14 20:45:24,0
19,678,2023-07-16 06:57:37,2023-07-16 08:57:37,0
20,170,2023-10-16 20:36:58,2023-10-16 21:36:58,0
21,996,2023-10-24 15:17:51,2023-10-24 19:17:51,0
22,242,2023-12-27 15:57:19,2023-12-27 16:57:19,0
23,679,2023-08-26 04:26:53,2023-08-26 05:26:53,0
24,817,2023-08-06 15:21:50,2023-08-06 16:21:50,0
25,324,2023-06-18 23:04:09,2023-06-19 04:04:09,0
26,216,2023-09-22 03:55:46,2023-09-22 06:55:46,0
27,244,2023-10-03 21:50:22,2023-10-03 23:50:22,0
28,880,2023-06-15 04:49:03,2023-06-15 06:49:03,0
29,639,2023-06-14 14:26:24,2023-06-14 15:26:24,0
30,25,2023-12-07 19:05:14,2023-12-07 23:05:14,0
31,624,2023-12-19 09:47:05,2023-12-19 11:47:05,0
32,91,2023-09-14 17:42:13,2023-09-14 18:42:13,0
33,475,2023-11-18 04:35:27,2023-11-18 09:35:27,0
34,185,2023-07-28 10:14:21,2023-07-28 12:14:21,0
35,177,2023-11-16 12:06:09,2023-11-16 14:06:09,0
36,649,2023-11-12 23:57:44,2023-11-13 02:57:44,0
37,675,2023-10-02 19:32:34,2023-10-02 23:32:34,0
38,993,2023-07-25 19:03:44,2023-07-25 22:03:44,0
39,930,2023-07-28 04:56:02,2023-07-28 06:56:02,0
40,36,2023-07-10 08:53:24,2023-07-10 10:53:24,0
41,63,2023-10-22 09:16:27,2023-10-22 10:16:27,0
42,973,2023-07-27 06:06:36,2023-07-27 08:06:36,0
43,88,2023-09-19 14:17:13,2023-09-19 17:17:13,0
44,500,2023-08-22 21:49:56,2023-08-23 02:49:56,0
45,138,2023-09-09 14:52:56,2023-09-09 19:52:56,0
46,530,2023-07-12 03:26:15,2023-07-12 04:26:15,0
47,119,2023-11-26 00:05:44,2023-11-26 04:05:44,0
48,489,2023-07-28 21:51:01,2023-07-29 02:51:01,0
49,542,2023-09-03 15:06:55,2023-09-03 19:06:55,0
50,120,2023-09-30 19:55:55,2023-09-30 20:55:55,0
51,255,2023-11-22 23:23:42,2023-11-23 01:23:42,0
52,273,2023-06-17 02:02:25,2023-06-17 03:02:25,0
53,662,2023-11-29 08:53:23,2023-11-29 11:53:23,0
54,533,2023-11-03 00:25:07,2023-11-03 02:25:07,0
55,102,2023-12-26 01:37:11,2023-12-26 04:37:11,0
56,820,2023-10-16 04:36:21,2023-10-16 08:36:21,0
57,513,2023-07-26 13:04:14,2023-07-26 16:04:14,0
58,149,2023-08-13 06:30:23,2023-08-13 10:30:23,0
59,503,2023-06-19 20:30:48,2023-06-20 00:30:48,0
60,21,2023-07-20 12:02:14,2023-07-20 16:02:14,0
61,282,2023-11-17 07:32:47,2023-11-17 08:32:47,0
62,34,2023-10-16 19:08:46,2023-10-16 23:08:46,0
63,491,2023-11-27 12:12:57,2023-11-27 17:12:57,0
